id,cage,date,body_weight,sex,strain
A-20412,CBB2353_Tm_2,1/20/2026,23.2,Male,D
A-20419,CBB2353_Tm_2,1/20/2026,25.6,Male,D
A-20420,CBB2353_Tm_2,1/20/2026,16.7,Male,D
A-20424,CBB2353_Em,1/20/2026,24.5,Male,A
A-20425,CBB2353_Em,1/20/2026,15.3,Male,A
A-20429,CBB2353_Ef,1/20/2026,13.6,Female,A
A-20430,CBB2353_Ef,1/20/2026,13.8,Female,A
A-20434,CBB2353_Em,1/20/2026,13.7,Male,A
A-20435,CBB2353_Em,1/20/2026,16.7,Male,A
A-20436,CBB2353_Em,1/20/2026,15.2,Male,A
A-20437,CBB2353_Ef,1/20/2026,12.9,Female,A
A-20438,CBB2353_Ef,1/20/2026,13.5,Female,A
A-20439,CBB2353_Ef,1/20/2026,15.4,Female,A
A-20440,CBB2353_Sm_2,1/20/2026,22.1,Male,C
A-20441,CBB2353_Sm_2,1/20/2026,22.8,Male,C
A-20442,CBB2353_Sm_2,1/20/2026,19.7,Male,C
A-20443,CBB2353_Sf_2,1/20/2026,17.6,Female,C
A-20444,CBB2353_Sf_2,1/20/2026,17.8,Female,C
A-20445,CBB2353_Sf_2,1/20/2026,19.3,Female,C
A-20430,CBB2353_Ef,1/27/2026,15,Female,A
A-20437,CBB2353_Ef,1/27/2026,13.2,Female,A
A-20439,CBB2353_Ef,1/27/2026,15.6,Female,A
A-20438,CBB2353_Ef,1/27/2026,13.4,Female,A
A-20429,CBB2353_Ef,1/27/2026,13.8,Female,A
A-20435,CBB2353_Em,1/27/2026,16.8,Male,A
A-20434,CBB2353_Em,1/27/2026,13.7,Male,A
A-20425,CBB2353_Em,1/27/2026,15.3,Male,A
A-20436,CBB2353_Em,1/27/2026,15.4,Male,A
A-20424,CBB2353_Em,1/27/2026,16.5,Male,A
A-20409,CBB2353_Mf,1/27/2026,13.2,Female,B
A-20403,CBB2353_Mf,1/27/2026,14.5,Female,B
A-20410,CBB2353_Mf,1/27/2026,14.2,Female,B
A-20405,CBB2353_Mm_1,1/27/2026,16.3,Male,B
A-20401,CBB2353_Mm_1,1/27/2026,17.4,Male,B
A-20402,CBB2353_Mm_1,1/27/2026,18.5,Male,B
A-20404,CBB2353_Mm_1,1/27/2026,17.1,Male,B
A-20406,CBB2353_Mm_2,1/27/2026,15.5,Male,B
A-20408,CBB2353_Mm_2,1/27/2026,15.4,Male,B
A-20407,CBB2353_Mm_2,1/27/2026,14.7,Male,B
A-20398,CBB2353_Sf_1,1/27/2026,19.1,Female,C
A-20399,CBB2353_Sf_1,1/27/2026,18.1,Female,C
A-20400,CBB2353_Sf_1,1/27/2026,18.4,Female,C
A-20444,CBB2353_Sf_2,1/27/2026,17.2,Female,C
A-20445,CBB2353_Sf_2,1/27/2026,19.4,Female,C
A-20443,CBB2353_Sf_2,1/27/2026,16.8,Female,C
A-20397,CBB2353_Sm_1,2026-01-27,22.3,Male,C
A-20441,CBB2353_Sm_2,2026-01-27,22.3,Male,C
A-20440,CBB2353_Sm_2,2026-01-27,22.7,Male,C
A-20442,CBB2353_Sm_2,2026-01-27,20.2,Male,C
A-20394,CBB2353_Tf,1/27/2026,20.2,F,D
A-20395,CBB2353_Tf,1/27/2026,22.2,F,D
A-20396,CBB2353_Tf,1/27/2026,18.5,F,D
A-20392,CBB2353_Tf,1/27/2026,19.3,F,D
A-20393,CBB2353_Tf,1/27/2026,18.8,F,D
A-20390,CBB2353_Tm_1,1/27/2026,27.9,M,D
A-20391,CBB2353_Tm_1,1/27/2026,26.5,M,D
A-20420,CBB2353_Tm_2,1/27/2026,26.3,M,D
A-20419,CBB2353_Tm_2,1/27/2026,26,M,D
A-20412,CBB2353_Tm_2,1/27/2026,25.2,M,D
A-20411,CBB2353_Tm_2,1/27/2026,24.8,M,F
